MalePatients,FemalePatients,ColonCancerPatients,ThroatCancerPatients,SkinCancerPatients,CancerConditions
233,88,26,43,33,Progressing
450,168,7,25,22,Progressing
379,384,20,46,2,Stable
322,385,27,25,,Progressing
,,,0,17,Progressing
118,153,5,14,46,Stable
83,123,2,10,36,Remission
311,240,4,36,48,Progressing
102,373,,6,30,Progressing
499,196,,11,13,Remission
254,,3,37,0,Progressing
175,333,,2,13,Remission
284,,4,,40,Stable
92,,10,25,4,Remission
,255,14,29,30,Remission
420,466,33,31,30,Remission
160,289,12,35,29,Stable
298,443,47,44,35,Remission
200,388,,36,0,Remission
232,335,39,17,2,Stable
385,71,5,0,19,Progressing
144,308,38,20,42,Progressing
423,406,49,27,47,Remission
449,154,29,47,42,Stable
57,481,21,15,20,Stable
,307,24,47,29,Remission
409,253,27,27,41,Remission
437,359,19,21,43,Progressing
233,311,38,18,29,Progressing
330,156,2,47,4,Remission
244,300,4,0,9,Stable
,,0,30,23,Remission
244,270,14,41,,Stable
,428,25,33,38,Progressing
142,271,2,,47,Remission
209,307,39,39,5,Stable
483,250,40,5,,Progressing
110,,46,27,41,Remission
171,307,41,2,,Remission
100,398,33,30,9,Progressing
452,274,4,15,24,Remission
326,251,30,,,Progressing
54,,12,43,46,Stable
141,285,42,26,38,Remission
219,232,0,23,,Progressing
366,249,21,19,,Progressing
71,406,14,31,38,Stable
454,295,25,34,,Remission
375,493,17,12,45,Progressing
50,402,47,47,48,Progressing
182,,8,,15,Progressing
,55,0,19,32,Remission
61,,42,47,40,Remission
395,176,8,1,,Stable
95,,22,3,,Stable
83,286,42,26,9,Stable
482,,44,24,14,Remission
127,204,1,3,15,Progressing
267,306,13,31,42,Remission
350,284,37,16,,Remission
460,338,39,0,48,Remission
,89,17,32,44,Stable
331,,15,29,31,Progressing
298,246,28,4,5,Remission
96,322,43,11,46,Stable
170,431,10,,47,Remission
263,,5,31,35,Progressing
288,106,2,37,7,Stable
105,347,13,16,24,Remission
399,147,1,44,6,Stable
156,186,31,39,16,Progressing
368,425,30,31,47,Progressing
97,136,10,23,29,Stable
110,468,,11,1,Remission
,291,2,46,16,Progressing
75,248,49,30,3,Progressing
341,486,30,18,,Remission
306,,32,28,13,Stable
57,133,23,20,,Stable
162,291,0,25,4,Remission
404,330,43,27,,Progressing
302,372,14,16,4,Progressing
229,,36,8,26,Remission
256,239,26,20,4,Remission
352,488,37,49,2,Stable
176,479,47,,37,Stable
105,,26,10,29,Remission
263,351,43,19,0,Progressing
63,327,11,48,7,Stable
77,188,2,49,12,Remission
127,225,29,46,19,Progressing
265,57,31,38,5,Stable
435,344,22,15,49,Remission
,284,1,28,49,Remission
203,212,6,0,47,Progressing
63,98,33,17,7,Progressing
236,351,31,21,29,Remission
361,87,38,,48,Progressing
420,185,,6,39,Remission
56,359,42,24,14,Progressing
52,470,42,29,9,Progressing
160,268,13,33,32,Stable
456,397,2,43,8,Stable
287,345,45,47,48,Progressing
412,83,31,40,,Remission
288,,42,10,8,Progressing
323,128,35,14,13,Stable
343,285,16,34,31,Remission
276,,47,22,36,Progressing
,322,2,44,5,Progressing
64,210,9,20,4,Progressing
241,224,46,27,3,Progressing
168,415,39,12,47,Stable
77,357,17,33,,Stable
251,423,2,37,9,Stable
88,270,38,5,30,Stable
490,,9,43,30,Remission
322,338,8,3,13,Remission
280,493,45,,12,Remission
135,162,45,39,3,Progressing
175,254,10,5,45,Remission
349,454,32,20,25,Stable
74,,35,27,23,Stable
194,390,25,2,8,Progressing
,246,26,,34,Remission
261,315,37,7,41,Progressing
74,311,21,18,,Progressing
117,297,25,10,23,Remission
443,164,21,49,30,Progressing
116,170,4,9,18,Remission
282,190,34,27,1,Remission
,114,1,19,1,Progressing
195,325,34,43,40,Stable
160,362,8,,35,Remission
277,288,48,28,36,Stable
160,351,17,7,33,Stable
83,441,42,18,38,Remission
160,59,11,47,18,Stable
313,418,,20,37,Progressing
473,282,17,17,22,Progressing
418,244,37,8,15,Stable
285,444,6,3,45,Progressing
132,61,32,40,43,Remission
91,443,5,24,5,Remission
474,458,17,33,25,Stable
150,226,44,8,,Progressing
55,226,21,8,44,Stable
229,266,38,17,46,Progressing
,60,8,10,23,Remission
369,495,34,12,45,Progressing
275,167,22,37,39,Progressing
492,213,11,8,,Stable
489,88,23,15,29,Remission
364,102,49,3,,Progressing
414,267,39,33,8,Remission
,255,8,6,11,Progressing
,361,12,14,25,Remission
338,409,39,37,37,Progressing
486,434,41,,2,Remission
199,105,,31,32,Progressing
326,167,6,26,14,Remission
247,437,16,29,46,Progressing
119,302,49,16,4,Progressing
161,335,,35,23,Remission
53,317,1,18,10,Stable
399,340,34,6,32,Progressing
380,382,27,42,,Progressing
495,229,18,44,9,Stable
367,464,32,20,42,Progressing
399,407,20,27,27,Remission
144,284,,2,38,Stable
201,392,45,13,16,Progressing
360,245,44,1,43,Remission
186,357,8,28,25,Remission
296,129,37,17,24,Stable
436,184,5,36,35,Stable
292,71,41,44,11,Stable
80,,34,44,2,Remission
89,489,17,23,49,Progressing
278,274,18,45,,Remission
85,107,4,11,43,Remission
457,142,24,44,23,Stable
272,241,10,31,18,Progressing
55,152,9,17,12,Remission
371,445,16,12,15,Stable
269,56,35,3,39,Stable
124,177,25,22,26,Progressing
53,,30,9,5,Progressing
384,280,31,4,,Stable
183,411,20,49,9,Progressing
167,111,17,,37,Progressing
,,17,13,7,Remission
143,,0,33,17,Progressing
484,281,13,27,31,Stable
111,282,7,7,16,Progressing
490,,1,15,41,Remission
243,,,30,,Progressing
,,,6,43,Remission
252,424,35,2,19,Progressing
441,341,0,28,9,Progressing
75,394,20,35,8,Stable
484,201,41,38,47,Stable
222,477,0,3,38,Progressing
349,194,31,,40,Progressing
,179,19,16,24,Remission
375,190,46,48,24,Remission
,464,,19,23,Stable
,142,38,13,5,Progressing
373,163,29,45,29,Progressing
,333,6,28,9,Remission
261,493,21,12,38,Progressing
274,,49,35,30,Progressing
69,192,,44,17,Progressing
162,,,16,42,Remission
189,281,7,,32,Remission
,,26,49,,Remission
50,325,9,42,22,Progressing
139,219,13,,4,Remission
191,189,45,19,25,Stable
369,406,10,10,28,Stable
87,,5,41,23,Remission
342,,20,,5,Remission
431,273,,44,38,Progressing
188,417,18,7,3,Remission
405,319,38,27,47,Remission
382,396,23,44,41,Stable
308,,17,,,Stable
210,382,34,29,14,Stable
439,134,42,32,12,Stable
227,158,36,32,39,Remission
59,80,18,46,21,Stable
310,278,23,35,12,Progressing
,289,33,26,38,Progressing
187,427,21,,,Remission
221,412,,32,35,Progressing
435,359,9,24,38,Stable
62,438,1,,47,Stable
217,190,7,42,24,Progressing
179,205,32,18,33,Remission
133,348,37,,20,Stable
370,394,,20,24,Stable
368,420,27,41,,Progressing
150,148,9,,21,Remission
378,96,44,2,22,Remission
322,376,0,13,24,Progressing
314,471,33,14,13,Stable
448,116,2,32,,Progressing
457,111,8,41,,Progressing
87,158,4,21,39,Progressing
468,216,41,0,29,Stable
143,86,9,30,25,Stable
144,168,11,46,37,Progressing
354,135,17,,21,Remission
,431,20,19,38,Progressing
367,441,,31,38,Stable
493,101,0,11,33,Remission
285,,2,15,24,Remission
483,338,,7,35,Stable
,386,24,13,,Stable
422,347,48,17,28,Progressing
425,,7,29,41,Stable
186,417,16,32,8,Remission
467,287,8,33,14,Progressing
125,431,31,43,30,Progressing
84,204,,48,43,Remission
50,289,48,33,26,Stable
345,185,39,48,30,Progressing
369,456,20,6,,Remission
455,,6,5,36,Remission
109,430,6,5,6,Remission
369,418,46,21,31,Stable
398,113,38,7,10,Stable
377,172,26,36,47,Stable
316,303,7,14,44,Stable
410,163,8,25,27,Remission
278,69,27,,3,Progressing
319,65,14,,47,Remission
365,194,,9,44,Progressing
335,257,6,2,30,Progressing
340,68,,29,28,Progressing
262,425,17,45,,Stable
214,441,,21,,Remission
54,215,49,2,46,Progressing
388,87,9,0,,Remission
428,230,49,32,30,Stable
127,398,32,18,30,Progressing
,154,6,35,26,Stable
,149,2,33,24,Stable
181,139,13,30,47,Remission
138,464,43,42,35,Progressing
286,349,45,23,48,Stable
,493,35,11,30,Remission
138,381,,12,42,Progressing
,450,15,15,36,Progressing
345,128,15,15,44,Stable
377,122,4,19,43,Stable
344,472,24,40,22,Stable
153,475,37,47,,Stable
63,225,,26,3,Progressing
337,445,49,38,27,Stable
228,145,37,12,41,Stable
174,394,38,3,40,Stable
471,152,47,31,41,Progressing
402,451,40,44,12,Remission
72,273,25,39,0,Remission
112,55,12,33,11,Progressing
192,171,43,38,42,Remission
202,285,25,42,39,Progressing
194,476,0,,,Stable
274,165,,23,45,Remission
499,212,3,,45,Progressing
358,275,20,45,22,Progressing
153,279,21,27,,Stable
,231,,,21,Progressing
484,298,,46,27,Remission
88,367,2,21,16,Stable
484,259,18,,5,Progressing
247,193,0,24,13,Stable
183,441,28,,,Progressing
116,394,22,2,16,Remission
440,145,32,12,37,Remission
228,431,,30,4,Stable
91,395,22,12,12,Progressing
497,293,4,40,47,Stable
64,135,6,17,8,Stable
160,464,5,36,43,Remission
206,443,48,42,41,Stable
338,233,21,33,,Progressing
280,170,48,,,Remission
460,381,12,20,18,Progressing
469,141,11,35,47,Stable
,119,3,49,16,Remission
87,453,7,39,15,Progressing
,182,36,18,29,Progressing
146,328,30,11,31,Stable
460,186,36,27,13,Progressing
488,363,44,10,47,Stable
338,,25,47,14,Stable
303,270,42,36,11,Stable
245,487,7,27,36,Stable
135,95,39,34,10,Remission
371,327,32,43,4,Progressing
59,241,44,14,10,Progressing
54,57,28,,33,Remission
172,428,4,,,Stable
379,325,27,6,25,Stable
402,228,39,46,25,Stable
167,383,16,,16,Stable
343,88,,30,30,Remission
446,342,44,11,18,Progressing
208,227,,7,43,Stable
352,211,1,24,19,Stable
277,380,31,43,22,Stable
,423,48,49,24,Progressing
265,153,30,34,27,Progressing
485,210,6,11,36,Remission
233,336,29,20,11,Progressing
64,172,2,25,47,Progressing
206,103,8,1,0,Stable
185,477,9,13,,Progressing
310,,45,45,9,Stable
206,291,49,3,33,Remission
96,427,,16,,Stable
373,162,25,46,24,Remission
381,,,47,9,Progressing
222,72,29,4,,Remission
179,95,37,23,0,Stable
460,361,14,48,31,Progressing
144,,24,6,36,Progressing
164,167,5,,11,Stable
,238,17,46,48,Progressing
469,180,0,16,17,Stable
341,471,,11,29,Remission
331,261,16,,12,Remission
348,467,47,10,2,Progressing
332,162,7,33,,Stable
118,93,48,46,41,Stable
197,,39,36,13,Remission
60,413,16,49,39,Stable
303,207,24,28,9,Progressing
,,40,47,1,Progressing
,364,,35,,Remission
87,443,28,26,36,Stable
183,404,24,41,10,Progressing
249,,35,,0,Progressing
72,451,,1,25,Progressing
352,94,28,,41,Stable
395,157,10,,12,Remission
351,268,3,47,27,Remission
,492,13,29,35,Progressing
445,367,45,6,20,Remission
267,,37,11,9,Progressing
190,226,16,2,11,Progressing
153,277,1,,45,Stable
495,240,7,40,26,Progressing
259,209,35,31,2,Progressing
,443,9,7,27,Stable
,316,6,22,,Stable
365,407,35,37,27,Remission
220,375,,29,30,Stable
405,428,13,14,,Progressing
373,239,15,9,20,Stable
,224,,37,6,Stable
425,339,,14,49,Remission
342,406,,29,30,Stable
377,194,28,45,13,Progressing
,281,5,25,38,Progressing
155,409,0,44,38,Progressing
141,487,38,13,8,Stable
336,253,0,2,22,Stable
427,262,39,35,11,Progressing
442,89,2,,,Stable
100,,,13,37,Remission
78,372,0,30,38,Remission
,131,38,13,21,Remission
346,230,20,39,3,Remission
263,369,,9,47,Progressing
316,132,29,8,6,Stable
,352,31,,39,Remission
306,311,32,39,7,Progressing
351,321,,42,34,Remission
150,249,21,41,8,Stable
454,289,29,17,12,Remission
395,451,45,,38,Remission
159,229,3,35,19,Remission
469,481,22,11,20,Remission
231,,43,49,,Stable
,344,24,39,18,Progressing
50,226,11,2,1,Remission
368,418,16,17,43,Progressing
487,445,,6,39,Stable
104,286,,30,29,Stable
420,187,34,0,,Remission
473,376,28,30,39,Progressing
448,415,11,12,12,Remission
198,360,0,28,32,Stable
480,178,0,2,31,Remission
,98,9,28,27,Remission
186,213,17,34,23,Progressing
,326,46,,41,Stable
485,342,1,20,,Remission
362,165,48,18,29,Remission
166,73,,27,40,Remission
203,,21,3,28,Progressing
474,74,21,,33,Stable
340,440,25,12,,Remission
112,176,25,,24,Remission
293,283,8,,13,Remission
74,258,,,9,Stable
139,142,30,31,9,Progressing
124,143,42,2,,Progressing
343,376,5,29,13,Remission
435,274,13,19,44,Remission
440,427,32,1,37,Progressing
259,329,6,49,31,Progressing
467,60,,24,44,Progressing
396,378,8,10,31,Remission
66,61,10,0,2,Remission
177,84,22,47,19,Progressing
476,496,47,48,12,Progressing
492,277,1,47,22,Stable
413,269,14,9,18,Remission
300,490,34,16,15,Stable
228,190,,29,35,Progressing
231,72,27,34,34,Remission
201,132,38,49,46,Remission
74,278,43,18,46,Stable
229,472,3,45,49,Stable
247,393,9,33,6,Stable
393,129,5,31,36,Stable
210,402,,11,7,Remission
226,445,45,42,24,Progressing
334,339,34,,,Progressing
,380,48,5,9,Progressing
199,208,42,12,29,Stable
203,177,9,38,32,Progressing
205,239,31,21,10,Stable
419,446,,10,34,Stable
98,80,41,6,26,Progressing
386,435,2,44,2,Progressing
133,408,25,44,46,Progressing
,64,14,20,48,Remission
226,362,16,0,49,Stable
197,124,26,29,,Remission
167,83,17,18,12,Progressing
391,408,18,46,41,Remission
112,245,11,45,,Remission
238,,23,28,19,Progressing
409,78,4,34,45,Progressing
98,243,,19,,Stable
376,65,26,35,,Stable
306,472,47,38,12,Remission
273,126,29,0,19,Progressing
190,342,14,22,23,Stable
264,130,46,30,,Stable
484,454,37,34,29,Remission
428,477,43,46,24,Remission
489,173,33,44,15,Remission
,68,26,21,7,Progressing
367,151,19,45,43,Stable
81,441,,6,27,Stable
207,126,31,32,11,Stable
334,,3,44,23,Remission
354,499,4,35,48,Progressing
478,346,7,43,28,Remission
335,252,21,6,14,Remission
,,41,26,,Progressing
473,75,6,1,6,Progressing
68,120,21,16,12,Remission
,152,45,0,18,Progressing
306,375,29,45,47,Remission
127,412,36,29,42,Stable
420,206,15,21,,Progressing
224,412,14,27,25,Stable
243,,4,32,1,Progressing
162,243,2,25,32,Remission
,324,,34,47,Remission
271,373,9,10,36,Remission
215,235,4,6,24,Remission
484,375,22,27,24,Remission
368,162,14,24,38,Remission
181,,17,40,29,Progressing
434,214,24,30,40,Progressing
313,110,7,,3,Stable
462,141,30,32,18,Progressing
104,335,,33,26,Progressing
408,202,1,20,46,Stable
180,274,21,36,38,Stable
337,176,,48,23,Remission
315,242,22,18,49,Stable
415,164,31,36,36,Stable
211,311,7,,24,Progressing
429,67,3,13,28,Remission
136,59,29,9,30,Stable
104,141,18,6,44,Remission
,188,22,28,34,Remission
227,,17,39,27,Stable
440,382,28,7,37,Stable
398,406,,38,43,Stable
57,389,32,12,49,Stable
,498,46,45,49,Remission
362,101,17,18,3,Progressing
296,244,43,10,27,Remission
372,255,32,1,30,Remission
492,336,6,,22,Remission
304,450,,5,13,Stable
377,488,0,28,,Stable
103,415,38,40,13,Progressing
298,,33,4,0,Progressing
288,469,38,40,42,Progressing
278,459,18,29,31,Remission
116,358,30,38,40,Progressing
100,194,12,,,Remission
146,135,23,26,4,Stable
141,202,4,49,,Remission
313,51,22,17,14,Stable
467,391,18,,41,Stable
,438,0,35,15,Progressing
145,309,32,15,,Stable
137,213,49,4,35,Progressing
,,32,8,39,Progressing
337,198,31,33,,Progressing
169,254,27,,37,Remission
351,167,36,35,22,Progressing
449,,40,30,10,Progressing
214,203,11,19,24,Stable
,488,8,16,44,Remission
447,216,49,19,42,Progressing
272,210,10,27,,Progressing
,319,32,20,34,Progressing
481,,18,18,,Stable
56,277,41,2,23,Stable
379,386,33,29,12,Stable
312,198,6,4,41,Progressing
210,95,30,41,,Progressing
200,193,1,5,29,Progressing
134,287,18,2,10,Progressing
196,321,37,48,22,Progressing
161,169,31,41,45,Stable
430,389,9,23,27,Progressing
452,462,40,,28,Remission
85,269,,0,14,Progressing
334,57,25,49,44,Stable
237,393,29,35,2,Progressing
131,436,10,14,8,Remission
,324,40,40,7,Progressing
434,402,19,37,46,Remission
352,115,19,43,32,Remission
,128,,17,33,Stable
453,135,7,22,,Remission
60,173,,46,16,Progressing
,251,33,28,40,Remission
435,199,23,40,0,Progressing
244,95,32,21,39,Progressing
168,162,40,23,4,Progressing
445,140,40,44,29,Progressing
69,190,44,47,10,Stable
310,338,,12,27,Progressing
342,438,26,32,37,Stable
471,267,20,49,16,Remission
305,126,4,21,49,Progressing
271,,34,34,22,Remission
442,426,20,16,17,Stable
275,433,3,21,36,Progressing
102,383,48,4,26,Progressing
477,201,47,24,,Stable
404,372,15,5,4,Remission
391,288,30,16,18,Stable
413,164,25,30,26,Remission
329,368,34,16,12,Remission
130,418,5,32,6,Remission
251,143,32,38,25,Progressing
207,97,20,47,13,Stable
169,240,15,36,,Progressing
108,61,46,,7,Stable
264,205,38,3,30,Remission
177,,33,42,34,Progressing
273,476,41,13,26,Progressing
258,450,,12,3,Progressing
419,345,5,26,41,Remission
164,,,23,3,Stable
258,390,23,26,17,Remission
,106,48,7,22,Progressing
58,392,27,46,31,Progressing
89,,0,49,,Remission
499,497,0,38,19,Progressing
286,252,27,20,,Progressing
330,234,35,40,44,Stable
408,170,19,10,11,Stable
250,275,47,30,7,Stable
295,251,7,26,21,Stable
327,379,0,41,26,Stable
284,412,25,45,40,Stable
53,429,42,47,40,Progressing
203,405,,26,16,Progressing
491,265,24,7,31,Stable
78,92,9,,32,Remission
,424,11,11,30,Stable
147,72,40,34,5,Progressing
264,204,6,33,38,Remission
342,235,11,15,8,Remission
124,298,,35,41,Remission
375,286,39,1,31,Progressing
195,342,16,11,35,Remission
177,,4,26,15,Progressing
,370,13,16,11,Progressing
91,439,,19,40,Stable
405,483,47,,2,Progressing
90,71,16,29,26,Remission
471,410,,41,26,Progressing
83,137,0,19,8,Progressing
66,202,49,7,16,Stable
214,174,49,,45,Stable
202,128,,17,4,Progressing
427,395,14,17,25,Progressing
125,100,18,1,20,Progressing
136,265,41,11,0,Stable
166,225,4,31,0,Stable
411,407,,41,34,Remission
391,302,42,,8,Remission
76,295,38,9,22,Remission
362,276,4,10,37,Remission
336,155,11,13,,Stable
,242,18,25,3,Stable
268,,46,46,18,Progressing
217,,11,29,36,Remission
147,85,35,41,4,Progressing
317,491,11,3,27,Progressing
286,253,17,38,45,Stable
358,471,,10,41,Progressing
443,316,47,23,47,Progressing
222,317,,21,22,Stable
450,219,33,2,37,Stable
459,,47,36,22,Stable
239,188,32,1,45,Stable
171,341,48,11,17,Remission
95,101,17,20,28,Remission
113,336,28,4,,Remission
,338,44,6,8,Progressing
359,190,4,3,,Remission
412,195,24,42,49,Stable
242,474,23,40,9,Remission
356,363,28,35,,Stable
230,233,37,,12,Remission
341,201,32,28,37,Remission
420,250,9,8,26,Stable
331,177,36,25,40,Stable
78,336,32,11,19,Progressing
198,360,22,47,39,Progressing
316,302,10,0,,Progressing
345,,23,7,15,Remission
,237,23,32,14,Remission
213,435,6,3,12,Stable
162,279,49,13,49,Stable
236,320,20,28,37,Progressing
344,308,19,13,19,Stable
281,348,9,8,,Remission
,464,24,8,40,Stable
359,247,46,25,49,Stable
147,372,35,,6,Stable
104,105,,46,22,Stable
160,368,46,41,23,Stable
201,252,14,,,Progressing
,320,43,,4,Progressing
455,158,39,,42,Remission
118,,39,45,44,Progressing
361,141,49,2,34,Stable
338,187,5,28,0,Progressing
299,471,,24,35,Remission
85,352,1,20,17,Progressing
288,106,11,11,5,Remission
197,99,3,0,22,Remission
276,120,22,0,9,Remission
293,448,12,,6,Stable
386,451,16,45,,Remission
495,131,30,47,7,Progressing
414,421,15,6,12,Progressing
250,154,40,9,29,Progressing
203,,25,14,17,Remission
499,,27,39,13,Remission
122,409,0,10,10,Stable
250,133,46,45,,Remission
345,92,11,44,37,Progressing
66,203,36,22,12,Stable
178,376,49,12,,Progressing
266,471,19,26,43,Stable
110,143,1,40,32,Remission
476,347,35,16,49,Stable
153,182,,49,12,Remission
91,,37,12,24,Remission
74,114,21,11,23,Progressing
88,339,43,28,28,Remission
,425,49,,35,Remission
180,306,31,19,5,Remission
278,435,19,,17,Progressing
157,262,35,30,27,Remission
